epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,956.341,0.47966,0.41682,1.11006,0.97738,0.96787,0.9899,0.81242,0.65659,0.55907,0.74992,0.0011684,0.0011684,0.0011684
44,978.742,0.45784,0.41252,1.09558,0.975,0.93978,0.98414,0.81424,0.63418,0.52303,0.74175,0.0011486,0.0011486,0.0011486
45,1003.06,0.45922,0.40163,1.09608,0.98379,0.97502,0.99116,0.79182,0.71821,0.60699,0.82731,0.0011288,0.0011288,0.0011288
46,1025.59,0.45424,0.40298,1.09778,0.97191,0.9727,0.98941,0.85408,0.68687,0.59884,0.7857,0.001109,0.001109,0.001109
47,1048.13,0.46066,0.40279,1.09833,0.97954,0.95181,0.98825,0.85917,0.65215,0.58391,0.75541,0.0010892,0.0010892,0.0010892
48,1070.79,0.46019,0.40774,1.09323,0.99097,0.95582,0.99072,0.84918,0.65527,0.5432,0.74769,0.0010694,0.0010694,0.0010694
49,1092.75,0.46032,0.41018,1.10085,0.96034,0.97254,0.98925,0.83347,0.69919,0.55086,0.80792,0.0010496,0.0010496,0.0010496
50,1114.57,0.46776,0.42107,1.10106,0.98329,0.94557,0.98252,0.79648,0.70423,0.53296,0.80991,0.0010298,0.0010298,0.0010298
51,1137.11,0.4439,0.39136,1.08462,0.9911,0.95984,0.98504,0.85166,0.65183,0.54525,0.7643,0.00101,0.00101,0.00101
52,1159.65,0.45374,0.40534,1.09623,0.98754,0.95491,0.98388,0.84786,0.65545,0.60501,0.75767,0.0009902,0.0009902,0.0009902
53,1182.08,0.43815,0.38435,1.08411,0.97613,0.97189,0.98347,0.8213,0.70806,0.55582,0.80979,0.0009704,0.0009704,0.0009704
54,1204.36,0.45454,0.40524,1.09234,0.98072,0.95984,0.98846,0.85781,0.69941,0.59334,0.7964,0.0009506,0.0009506,0.0009506
55,1226.25,0.42737,0.37584,1.07514,0.97177,0.96774,0.98651,0.82075,0.67517,0.57151,0.77594,0.0009308,0.0009308,0.0009308
56,1248.49,0.44101,0.38277,1.08096,0.97571,0.96792,0.97881,0.82354,0.66633,0.58618,0.77321,0.000911,0.000911,0.000911
57,1271.11,0.43745,0.39216,1.08067,0.98361,0.97189,0.99028,0.83105,0.67821,0.5489,0.77115,0.0008912,0.0008912,0.0008912
58,1293.52,0.43502,0.38364,1.0757,0.96635,0.96787,0.97953,0.82866,0.66667,0.572,0.76588,0.0008714,0.0008714,0.0008714
59,1316,0.43492,0.38485,1.08123,0.97688,0.9759,0.98957,0.84182,0.63889,0.53968,0.74961,0.0008516,0.0008516,0.0008516
60,1338.11,0.42209,0.36896,1.07092,0.99169,0.95902,0.98773,0.83088,0.64768,0.55187,0.75766,0.0008318,0.0008318,0.0008318
61,1360.11,0.43676,0.38348,1.0854,0.97433,0.97189,0.98891,0.8381,0.64523,0.53229,0.74777,0.000812,0.000812,0.000812
62,1382.48,0.42867,0.38235,1.07502,0.97543,0.95678,0.98935,0.84508,0.68531,0.54251,0.78855,0.0007922,0.0007922,0.0007922
63,1405.16,0.42928,0.381,1.07104,0.9715,0.95841,0.97872,0.85545,0.65856,0.53673,0.75601,0.0007724,0.0007724,0.0007724
64,1427.76,0.42176,0.37767,1.07144,0.98252,0.96787,0.99007,0.82986,0.66832,0.56175,0.76494,0.0007526,0.0007526,0.0007526
65,1450.11,0.40665,0.37081,1.0625,0.97947,0.95806,0.9869,0.83855,0.66381,0.53284,0.7596,0.0007328,0.0007328,0.0007328
66,1472.12,0.41932,0.364,1.07016,0.98372,0.97095,0.98772,0.84527,0.66075,0.56254,0.75442,0.000713,0.000713,0.000713
67,1494.33,0.40109,0.3619,1.06042,0.98364,0.96588,0.98857,0.84566,0.62579,0.52975,0.71275,0.0006932,0.0006932,0.0006932
